2,2,530,113,47,122,1,-1,-1,-1
2,3,68,102,67,218,1,-1,-1,-1
2,4,448,90,101,240,1,-1,-1,-1
2,5,362,81,87,248,1,-1,-1,-1
2,6,174,94,84,226,1,-1,-1,-1
2,7,593,83,44,199,1,-1,-1,-1
3,2,531,113,46,121,1,-1,-1,-1
3,3,59,104,67,216,1,-1,-1,-1
3,4,451,89,100,240,1,-1,-1,-1
3,5,366,82,88,247,1,-1,-1,-1
3,6,181,93,84,226,1,-1,-1,-1
3,7,593,84,44,198,1,-1,-1,-1
4,2,530,114,46,120,1,-1,-1,-1
4,3,52,105,68,217,1,-1,-1,-1
4,4,454,88,98,237,1,-1,-1,-1
4,5,369,84,88,245,1,-1,-1,-1
4,6,188,92,84,227,1,-1,-1,-1
4,7,592,85,44,197,1,-1,-1,-1
5,2,530,114,46,120,1,-1,-1,-1
5,3,47,105,70,217,1,-1,-1,-1
5,4,460,88,98,236,1,-1,-1,-1
5,5,371,85,88,243,1,-1,-1,-1
5,6,195,91,85,228,1,-1,-1,-1
5,7,590,86,45,196,1,-1,-1,-1
6,2,529,114,46,121,1,-1,-1,-1
6,3,42,104,72,219,1,-1,-1,-1
6,4,462,87,97,235,1,-1,-1,-1
6,5,373,86,88,242,1,-1,-1,-1
6,6,203,92,84,227,1,-1,-1,-1
6,7,589,87,45,195,1,-1,-1,-1
6,9,171,96,41,157,1,-1,-1,-1
7,2,529,114,46,121,1,-1,-1,-1
7,3,38,104,73,219,1,-1,-1,-1
7,4,466,87,96,235,1,-1,-1,-1
7,5,375,87,89,241,1,-1,-1,-1
7,6,209,93,84,226,1,-1,-1,-1
7,7,587,88,46,194,1,-1,-1,-1
7,9,172,96,41,157,1,-1,-1,-1
8,3,33,102,73,222,1,-1,-1,-1
8,4,468,86,96,236,1,-1,-1,-1
8,5,378,86,90,241,1,-1,-1,-1
8,6,216,95,84,224,1,-1,-1,-1
8,7,586,89,46,193,1,-1,-1,-1
8,9,172,95,42,157,1,-1,-1,-1
9,3,27,101,73,222,1,-1,-1,-1
9,4,472,86,94,235,1,-1,-1,-1
9,5,380,85,90,242,1,-1,-1,-1
9,6,221,95,85,224,1,-1,-1,-1
9,7,585,88,47,193,1,-1,-1,-1
9,9,172,95,42,157,1,-1,-1,-1
10,3,19,100,73,223,1,-1,-1,-1
10,4,478,88,94,234,1,-1,-1,-1
10,5,381,83,91,242,1,-1,-1,-1
10,6,225,97,85,221,1,-1,-1,-1
10,7,583,88,49,193,1,-1,-1,-1
10,9,172,94,42,157,1,-1,-1,-1
11,3,12,98,72,225,1,-1,-1,-1
11,4,484,88,94,234,1,-1,-1,-1
11,5,383,81,91,241,1,-1,-1,-1
11,6,228,97,85,221,1,-1,-1,-1
11,7,581,87,50,195,1,-1,-1,-1
11,9,171,94,42,157,1,-1,-1,-1
11,10,634,164,6,74,1,-1,-1,-1
12,3,5,97,72,226,1,-1,-1,-1
12,4,487,89,93,233,1,-1,-1,-1
12,5,385,80,91,241,1,-1,-1,-1
12,6,233,96,85,220,1,-1,-1,-1
12,7,579,87,51,194,1,-1,-1,-1
12,9,171,94,43,157,1,-1,-1,-1
12,10,634,163,6,75,1,-1,-1,-1
13,3,-1,97,72,227,1,-1,-1,-1
13,4,491,90,93,232,1,-1,-1,-1
13,5,388,79,92,241,1,-1,-1,-1
13,6,238,96,85,218,1,-1,-1,-1
13,7,577,87,52,193,1,-1,-1,-1
13,9,170,94,43,157,1,-1,-1,-1
14,3,-3,98,71,226,1,-1,-1,-1
14,4,494,92,93,230,1,-1,-1,-1
14,5,390,78,92,241,1,-1,-1,-1
14,6,240,94,84,217,1,-1,-1,-1
14,7,575,87,53,192,1,-1,-1,-1
14,9,170,94,43,157,1,-1,-1,-1
14,11,622,107,14,126,1,-1,-1,-1
15,3,-4,100,71,227,1,-1,-1,-1
